RecipeName,Diet,TotalTimeInMins,Cuisine,Ingredients,energy_kcal_x,carb_g_x,protein_g_x,fat_g_x,fibre_g_x,cholesterol_mg_x,calcium_mg_x,potassium_mg_x,energy_kcal_y,carb_g_y,protein_g_y,fat_g_y,fibre_g_y,cholesterol_mg_y,calcium_mg_y,potassium_mg_y
Homemade Baked Beans Recipe (Wholesome & Healthy),vegetarian,120,Fusion,"['250 grams dry beans - (such as cannellini or soya beans),1 teaspoon extra virgin olive oil,1 onion - finely chopped,1 clove garlic - grated,500 grams tomatoes - pureed,1 tablespoon honey - or more to taste,1 teaspoon cumin powder (jeera),1 teaspoon dried oregano,1/4 teaspoon red chilli powder - or cayenne pepper,salt and pepper - (coarsely pounded pepper) to taste']",538,95,32,4,4,0,373,2107,0,0,0,0,0,0,0,0
Veg Chili Cheese Burgers Recipe,vegetarian,55,Continental,"['2 burger buns,5 pickled jalapenos - sliced,2 cheese slices,2 potatoes (aloo) - pressure cooked,1 onion - chopped,1 tablespoon red chilli powder,salt - to taste,1 whole egg,1/2 cup whole wheat bread crumbs,4 cloves garlic - chopped,1 onions - chopped,2 tomatoes - chopped,1 cup homemade tomato puree,1 green bell pepper (capsicum) - chopped,1/2 cup soy granules,1 tablespoon red chilli powder,1 teaspoon red chilli flakes,1 tablespoon cumin powder (jeera),1 tablespoon dried oregano,1 tablespoon tabasco original - hot sauce,1 teaspoon honey,salt - to taste,sunflower oil']",840,154,28,46,35,109,483,2500,0,0,0,0,0,0,0,0
Andhra Style Ingavu Chaaru Recipe - Asafoetida Flavored Tamarind Rasam,vegetarian,30,Andhra,"['2 cup tamarind water,1/2 cup arhar dal (split toor dal),1 teaspoon asafoetida (hing),salt - to taste,1 teaspoon mustard seeds,1 teaspoon cumin seeds (jeera),1 teaspoon methi seeds (fenugreek seeds),1 sprig curry leaves,1 pinch asafoetida (hing),sunflower oil - for cooking']",832,173,15,17,19,0,226,1540,0,0,0,0,0,0,0,0
Aar Macher Jhol Recipe - Bengali Style Fish In Tomato Gravy,high protein non vegetarian,20,Bengali Recipes,"['600 grams aar maach (fish) - rohu/ katla fish (cut into thick steaks),1 tomato - finely chopped,2 bay leaves (tej patta),1-1/2 tablespoons ginger - paste,4 green chillies - coarsely crushed,1 teaspoon cumin powder (jeera),1 teaspoon coriander powder (dhania),salt - to taste,1/2 teaspoon cumin seeds (jeera),1/2 teaspoon turmeric powder (haldi),2 green chillies - slit lengthwise,mustard oil - as required,1-1/4 cups water - add 2 cups if you like a loose gravy,sugar - a pinch (optional),1 tablespoon coriander (dhania) leaves - optional']",429,22,64,9,5,161,78,1315,0,0,0,0,0,0,0,0
Saunf Aloo (Fennel Potato Curry) Recipe,vegetarian,25,Punjabi,"['5 potatoes (aloo) - halved with skin,2 teaspoon fennel seeds (saunf) - crushed,2 teaspoon red chilli powder,1 teaspoon turmeric powder (haldi),1/4 cup fresh cream - or 1/2 cup milk,4 sprig coriander (dhania) leaves - finely chopped']",532,97,12,12,13,33,140,2457,0,0,0,0,0,0,0,0
साउथ इंडियन प्याज चटनी रेसिपी - South Indian Onion Chutney (Recipe In Hindi),vegetarian,40,South Indian Recipes,"['2 प्याज,1 छोटा चमच्च जीरा,2 बड़े चमच्च काली उरद दाल (स्प्लिट),1 बड़ा चमच्च इमली का पेस्ट,3 सुखी लाल मिर्च,1/2 छोटा चमच्च गुड़,2 छोटे चमच्च तेल,नमक - स्वाद अनुसार,1 छोटा चमच्च राइ,1 टहनी कढ़ी पत्ता,1/2 छोटा चमच्च तेल']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,eggetarian,35,Indian,"['4 whole eggs - boiled,1 cinnamon stick (dalchini) - small,1 bay leaf (tej patta),2 cloves (laung),1 tablespoon sunflower oil,2 teaspoons coriander powder (dhania),1 teaspoon garam masala powder,2 tablespoons fresh cream,2 cups coriander (dhania) leaves - tightly packed,1 cup mint leaves (pudina) - chopped,2 green chillies - chopped,1 onion - roughly chopped,1 inch ginger - chopped,4 cloves garlic']",975,141,65,32,31,344,3119,10983,0,0,0,0,0,0,0,0
लौकी रायता रेसिपी - Grated Bottle Gourd Yogurt Salad (Recipe In Hindi),vegetarian,30,Indian,"['2 कप दही,1 कप लौकी - छीलकर कस ले,1 ककड़ी - छीलकर कास ले,1 हरी - बारीक काट ले,1 हरा धनिया - थोड़ा,1/2 छोटा चमच्च जीरा पाउडर,नमक - स्वाद अनुसार']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homemade Tater Tots Recipe,vegetarian,60,Continental,"['10 potatoes (aloo),1 teaspoon garlic powder,1 teaspoon onion powder,1 teaspoon dried oregano,1 tablespoon coriander (dhania) leaves - finely chopped,1 teaspoon red chilli flakes,2 tablespoon all purpose flour (maida),1 tablespoon rice flour,salt - to taste,sunflower oil - for deep frying the tater tots']",878,198,23,1,24,0,166,4599,0,0,0,0,0,0,0,0
चेट्टिनाड वेजिटेबल पुलाव रेसिपी - Chettinad Vegetable Pulao Recipe,vegetarian,60,Chettinad,"['1 कप चावल - पानी में अच्छी तरह से धो ले,12 छोटे प्याज - बारीक काट ले,2 कली लहसुन - कस ले,1 इंच अदरक - कस ले,2 हरी मिर्च - सीधा और पतला काट ले,1 तेज पत्ता - तोड़ ले,1 छोटा चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच हल्दी पाउडर,1 गाजर - काट ले,12 हरा बीन्स - काट ले,2 आलू - छीलकर काट ले,घी - प्रयोग अनुसार,2 लौंग,1 इंच दालचीनी,1 छोटा चम्मच सौंफ,1 छोटा चम्मच पूरी काली मिर्च,1 छोटा चम्मच धनिया के बीज,1/4 कप हरे मटर - भाप ले,1/4 कप पुदीना - बारीक काट ले']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
लहसुन आमला चटनी रेसिपी - Lehsun Amla Chutney Recipe,vegetarian,15,Tamil Nadu,"['8 आमला,6 छोटे प्याज,10 कली लहसुन,2 हरी मिर्च,1/2 कप पुदीना,1/2 कप हरा धनिया,नमक - स्वाद अनुसार,1 छोटा चम्मच तेल,1 छोटा चम्मच तेल,1/2 छोटा चम्मच राइ,1/4 छोटा चम्मच उरद दाल,1/4 छोटा चम्मच चना दाल,1 टहनी कढ़ी पत्ता,10 काजू']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,diabetic friendly,60,Maharashtrian Recipes,"['1/2 cup gram flour (besan),1/2 cup whole wheat flour,1/4 cup rice flour,1 cucumber - peeled and grated,1 teaspoon turmeric powder (haldi),1 teaspoon cumin powder (jeera),1 teaspoon coriander powder (dhania),1 teaspoon red chilli powder,2 green chillies - finely chopped,1/2 cup coriander (dhania) leaves - chopped,5 cloves garlic - finely chopped,salt - to taste,ghee - for smearing on thalipeeth']",519,96,26,7,16,2,818,3328,0,0,0,0,0,0,0,0
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,high protein vegetarian,30,Fusion,"['2 submarine bread (subway bread) - (flat breads\xa0or foot longs),1/2 cup green moong sprouts,1 beetroot - grated,2 cloves garlic - grated,1/2 cup hung curd (greek yogurt),2 tablespoon coriander (dhania) leaves - finely chopped,2 tomatoes - thinly sliced,2 stalks spring onion (bulb & greens) - finely chopped,tabasco original - hot sauce - to taste,salt and pepper - to taste']",437,76,26,3,9,2,139,629,0,0,0,0,0,0,0,0
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,vegetarian,45,South Indian Recipes,"['5 drumstick - cut into 3 inch pieces,1/2 cup fresh coconut - grated,2 green chillies - slit,1 sprig curry leaves,1 teaspoon mustard seeds,2 teaspoons coconut oil,2 dry red chillies,1/2 teaspoon turmeric powder (haldi),salt - to taste,water - as needed']",445,11,35,29,4,174,44,661,0,0,0,0,0,0,0,0
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,vegetarian,25,Indian,"['3/4 cup mango pulp (puree),1 cup curd (dahi / yogurt) - (low fat),1 tablespoon sugar - or honey,2 pinch saffron strands,3 tablespoons badam (almond) - roughly chopped,3 tablespoons milk - luke warm+more cold milk as needed,ice cubes - a few']",313,33,15,14,3,2,232,144,0,0,0,0,0,0,0,0
चेटिनाड मीठा पनियारम रेसिपी - Chettinad Sweet Paniyaram Recipe,vegetarian,25,Chettinad,"['1 कप इडली डोसा मिश्रण,4 बड़े चमच्च चावल का रवा,1/3 कप गुड़,3 बड़े चमच्च नारियल - कस ले,1 बड़ा चमच्च इलाईची पाउडर,नमक - स्वाद अनुसार,पानी - प्रयोग अनुसार,तेल - प्रयोग अनुसार']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Dal Samosa Curry/Sabzi Recipe,vegetarian,35,North Indian Recipes,"['3 cardamom (elaichi) pods/seeds,6 whole black peppercorns,1/2 inch cinnamon stick (dalchini),3 cloves cloves (laung),1 mace (javitri),1 bay leaf (tej patta),1 black cardamom (badi elaichi),1/2 teaspoon kasuri methi (dried fenugreek leaves),1/2 teaspoon kashmiri red chilli powder,1/2 teaspoon turmeric powder (haldi),1 teaspoon coriander powder (dhania),1/2 teaspoon garam masala powder,6 samosas - mini,15 cashew nuts,1 green chilli,1 onion - roughly chopped,2 tomato - roughly chopped,1/2 inch ginger,1/2 teaspoon sugar,1 tablespoon fresh cream,2 tablespoons sunflower oil']",292,21,4,22,5,8,66,550,0,0,0,0,0,0,0,0
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,vegetarian,30,Italian Recipes,"['1 baguette - sliced,1 1/2 tablespoon butter,1/2 tablespoon garlic - minced,1 cup spinach leaves (palak),1 red bell pepper (capsicum) - (optional,1 tomato - finely chopped,1 onion - finely chopped (optional),1 tablespoon black pepper powder - adjust,1 tablespoon italian seasoning,1 teaspoon fresh cream,1 cup cheddar cheese - grated,salt - to taste,1 tablespoon roasted tomato pasta sauce']",676,69,26,32,6,81,602,524,0,0,0,0,0,0,0,0
Mini Dal Pakwan Chaat Recipe - A Perfect Party Snack,vegetarian,65,Sindhi,"['1 cup whole wheat flour,1 cup all purpose flour (maida),1 teaspoon ajwain (carom seeds),1 teaspoon cumin seeds (jeera),2 tablespoons ghee,salt - as needed,sunflower oil - for deep frying,1 cup chana dal (bengal gram dal),1/2 teaspoon turmeric powder (haldi),1/2 teaspoon garam masala powder,1/4 teaspoon red chilli powder,1 teaspoon amchur (dry mango powder),1/2 teaspoon sugar,salt - as needed,1 tablespoon ghee,1/4 teaspoon asafoetida (hing),1 teaspoon cumin seeds (jeera),2 green chillies - slit,1 sprig curry leaves,1/4 cup sweet chutney (date & tamarind),1/4 cup green chutney (coriander & mint),1 onion - finely chopped,1/2 cup fresh pomegranate fruit kernels,1/4 cup sev']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asian Style Sweet & Spicy Green Beans Recipe,high protein vegetarian,25,Thai,"['300 grams green beans (french beans) - cut into half,3 cloves garlic - finely chopped,1 tablespoon soy sauce,2 tablespoons thai sweet chilli sauce,1 lemon - juice,2 tablespoons rice wine vinegar,1/4 cup roasted peanuts (moongphali),salt - to taste,1 tablespoon sesame (gingelly) oil']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Darsaan Recipe With Ice Cream,vegetarian,40,Chinese,"['1 tablespoon sunflower oil,all purpose flour (maida),1/4 teaspoon baking powder,water - to make the dough,sunflower oil - to deep fry,2 tablespoons honey,2 tablespoon sugar,1 tablespoon sesame seeds (til seeds) - white,2 tablespoons water,1/2 teaspoon vanilla extract']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
सुंडकई मेथी सांबर रेसिपी - Sundakkai And Methi Leaves Sambar Recipe,diabetic friendly,65,South Indian Recipes,"['1/2 कप सुंडकई,1/4 कप मेथी,1/2 कप अरहर दाल - उबालकर मैश कर ले,1/2 टमाटर,1 इमली,1/2 छोटा चम्मच हल्दी पाउडर,2 छोटे चम्मच सांबर पाउडर,1 छोटा चम्मच धनिया पाउडर,1/2 छोटा चम्मच राइ,1/4 छोटा चम्मच जीरा,1 सुखी लाल मिर्च,1/4 छोटा चम्मच हींग,तेल - प्रयोग अनुसार,नमक - स्वाद अनुसार,कढ़ी पत्ता - थोड़ा,हरा धनिया - थोड़ा,पानी - प्रयोग अनुसार']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe ",vegetarian,15,Continental,"['1 cup cabbage (patta gobi/ muttaikose) - shredded,1 cup spinach - shredded,1 cup fresh pomegranate fruit kernels,2 lemon juice,2 tablespoons extra virgin olive oil,salt and pepper - to taste']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matar Samosa Recipe -Green Pea Samosa,vegetarian,55,North Indian Recipes,"['1 cup all purpose flour (maida),2 tablespoons ghee,1/2 teaspoon salt,sunflower oil - for deep frying,2 tablespoons ghee,1 teaspoon cumin seeds (jeera),1 teaspoon green chilli sauce,1/2 teaspoon cinnamon powder (dalchini),1/2 teaspoon garam masala powder,1/4 teaspoon red chilli powder,2 teaspoon amchur (dry mango powder),1-1/2 cups green peas (matar) - steamed and mashed,salt - to taste,2 teaspoon all purpose flour (maida),1/4 cup water']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,vegetarian,40,Continental,"['1 cup all purpose flour (maida),1/2 cup sugar,1 cup dark chocolate,1/2 cup cocoa powder,1/2 cup salted butter,3/4 cup milk,1/2 tablespoon baking powder,1/2 teaspoon baking soda,1/2 tablespoon vanilla extract,1 cup britannia cream cheese,3/4 cup caster sugar,1 teaspoon vanilla extract,8 fresh raspberries']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala Palada Pradhaman Recipe,vegetarian,90,Kerala Recipes,"['1 cup ada,2 liter milk - full cream,3/4 cup sugar,1 tablespoon ghee,1/2 teaspoon cardamom powder (elaichi)']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tindora Sambharo Recipe - Instant Tendli Pickle,vegetarian,35,Gujarati Recipes﻿,"['1 cup tindora (dondakaya/ kovakkai) - finely chopped,1 teaspoon red chilli powder,1/4 teaspoon split methi seeds (methi kuria),1/2 teaspoon split mustard seeds (rai kuria),1/4 teaspoon turmeric powder (haldi),1/4 teaspoon asafoetida (hing),1 tablespoon sunflower oil,lemon - juice extracted,salt - to taste']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chettinad Style Chicken Roast Recipe,high protein non vegetarian,35,Chettinad,"['1 chicken legs,1/4 cup hung curd (greek yogurt),1/2 teaspoon turmeric powder (haldi),salt - to taste,1 teaspoon sunflower oil,1 onion - sliced,4 cloves garlic,1/2 inch ginger,2 tablespoon fresh coconut - grated,2 teaspoon cumin seeds (jeera),2 teaspoons coriander (dhania) seeds,1/4 teaspoon methi seeds (fenugreek seeds),1/4 teaspoon kalonji (onion nigella seeds),1 teaspoon whole black peppercorns,2 dry red chillies,1 teaspoon fennel seeds (saunf),1/2 inch cinnamon stick (dalchini),2 cloves (laung),1 cardamom (elaichi) pods/seeds,1/2 teaspoon mustard seeds,1 tablespoon ghee,1 teaspoon tamarind paste,1 teaspoon jaggery,1 teaspoon ghee,1/2 teaspoon mustard seeds,1 sprig curry leaves,4 cloves garlic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palakottai Kuzhambu Recipe-Kongunad Style Jackfruit Seeds Curry,vegetarian,25,Tamil Nadu,"['1 cup jackfruit seeds (kathal),1 cup tamarind water,8 cloves garlic,1/2 teaspoon mustard seeds,1/2 teaspoon cumin seeds (jeera),8 curry leaves,1/4 teaspoon turmeric powder (haldi),1/2 teaspoon red chilli powder,2 teaspoons sambar powder,1/4 teaspoon asafoetida (hing),coriander (dhania) leaves - small bunch,salt - to taste,2 teaspoons sunflower oil,1/2 cup fresh coconut,10 whole black peppercorns,2 dry red chillies,1 onion - chopped,1 tomato - chopped,1 teaspoon coriander (dhania) seeds,1 teaspoon sunflower oil']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
बैंगन भरता रेसिपी - Baingan Bharta (Recipe In Hindi),vegetarian,60,Punjabi,"['1 बैंगन,2 इंच अदरक - छीलकर कस ले,1 प्याज - बारीक काट ले,1 टमाटर - काट ले,2 हरी मिर्च - बारीक काट ले,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च धनिया पाउडर,1 बड़ा चमच्च मक्खन,1 छोटा चमच्च लाल मिर्च पाउडर,नमक - स्वाद अनुसार,1 बड़ा चमच्च तेल,2 टहनी हरा धनिया - बारीक काट ले (गार्निश के लिए)']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,vegetarian,10,North Indian Recipes,"['2 cups water,1 teaspoon tea leaves,1/4 cup milk,10 saffron strands - or more']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
पछा मांगा पचड़ी रेसिपी - Tamil Nadu Raw Mango Pachadi Recipe,vegetarian,35,Tamil Nadu,"['1 कच्चा आम - बड़ा बड़ा काट ले,1 कप इमली का पानी,1 बड़ा चमच्च गुड़,1 बड़ा चमच्च सांबर पाउडर,1 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च नमक,1 छोटा चमच्च राइ,हींग - चुटकी भर,1 टहनी कढ़ी पत्ता,2 सुखी लाल मिर्च,तेल - प्रयोग अनुसार']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,vegetarian,55,Coorg,"['10 jackfruit seeds (kathal),1 cup kala chana (brown chickpeas) - soaked overnight,1 teaspoon mustard seeds,1/2 teaspoon cumin seeds (jeera),1 sprig curry leaves,1 tomato - chopped,1/2 cup tamarind water,1 teaspoon turmeric powder (haldi),4 dry red chillies,1 teaspoon cumin seeds (jeera),1 teaspoon coriander (dhania) seeds,2 cloves (laung),1 inch cinnamon stick (dalchini),1/2 cup fresh coconut,1 inch ginger,4 cloves garlic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whole Wheat Crepe Recipe With Herbed Vegetables,vegetarian,55,Coorg,"['1 cup whole wheat flour,1 pinch salt,1 teaspoon italian seasoning,1/4 cup cheese spread - flavoured,1 broccoli - cut into florets,1 onion - thinly sliced,1 red bell pepper (capsicum) - diced,salt - to taste,2 sprig parsley leaves - roughly chopped']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Makki and Methi Roti Recipe,vegetarian,30,Punjabi,"['2 cups makki ka atta (yellow corn meal flour),1 1/2 cups methi leaves (fenugreek leaves) - chopped,2 green chillies - chopped,1 tablespoon ajwain (carom seeds),1 tablespoon kashmiri red chilli powder,salt - to taste']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,vegetarian,30,Gujarati Recipes﻿,"['3 carrots (gajjar) - grated,3 cups cabbage (patta gobi/ muttaikose) - shredded,1 green bell pepper (capsicum) - thinly sliced,1/2 teaspoon turmeric powder (haldi),1 teaspoon sugar,1 teaspoon lemon juice,salt - to taste,1 teaspoon sunflower oil,1 teaspoon mustard seeds,1/4 teaspoon asafoetida (hing),1 sprig curry leaves,3 green chillies - slit lengthwise']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whole Wheat Pita Bread Recipe,vegetarian,70,Continental,"['1-1/2 cups all purpose flour (maida),1-1/2 cups whole wheat flour,2 teaspoons active dry yeast,1/2 teaspoons salt,1-1/2 teaspoons sugar,1-1/4 cups lukewarm water,2 tablespoons extra virgin olive oil']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Style Tamati Pachadi Recipe (Tomato Chutney),vegetarian,75,Andhra,"['1 kg tomatoes,8 dry red chillies - adjustable,1 teaspoon tamarind paste,2 teaspoons red chilli powder - optional,1/2 teaspoon turmeric powder (haldi),1 tablespoon mustard seeds,1 teaspoon methi seeds (fenugreek seeds),8 cloves garlic,sunflower oil,salt - to taste']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
हर्ब ब्राउन राइस रेसिपी - Herbed Brown Rice Recipe,vegetarian,30,Continental,"['1-1/2 कप ब्राउन राइस,2 प्याज - बारीक काट ले,4 लॉन्ग लहसुन - बारीक काट ले,3 छोटे चम्मच ऑरेगानो,3 छोटे चम्मच रोसमेरी,4 छोटे चम्मच रेड चिल्ली फलैक्स,नमक - स्वाद अनुसार,तेल,पानी - प्रयोग अनुसार']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamras Recipe - Ripe Mango Ras,vegan,15,North Indian Recipes,"['3 cups mango (ripe) - cut into pieces,1/4 cup water,sugar - optional']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthani Khooba Roti Recipe,vegetarian,45,Rajasthani,"['1 cup whole wheat flour,salt - to taste,water - as required,ghee - as required']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),vegetarian,25,South Indian Recipes,"['2 cups ridge gourd skin (turai/ peerkangai),2 teaspoons white urad dal (split),5 methi seeds (fenugreek seeds),3 dry red chillies,10 curry leaves,30 grams tamarind,1/4 teaspoon mustard seeds,2 dry red chillies,3-4 curry leaves,1 teaspoon sunflower oil,salt - to taste']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
